Tree,Ground Truth,Number of manual annotations,AI detections,variety,GS,field,date
1.0,7,7.0,3.0,Dunkelfelder,83,Obrigheim,09_08_23
3.0,25,15.0,20.0,Dunkelfelder,83,Obrigheim,09_08_23
4.0,19,3.0,3.0,Dunkelfelder,83,Obrigheim,09_08_23
5.0,4,20.0,29.0,Dunkelfelder,83,Obrigheim,09_08_23
6.0,38,13.0,13.0,Dunkelfelder,83,Obrigheim,09_08_23
7.0,4,26.0,37.0,Dunkelfelder,83,Obrigheim,09_08_23
8.0,42,20.0,27.0,Dunkelfelder,83,Obrigheim,09_08_23
9.0,26,2.0,3.0,Dunkelfelder,83,Obrigheim,09_08_23
10.0,2,6.0,6.0,Dunkelfelder,83,Obrigheim,09_08_23
11.0,15,23.0,28.0,Dunkelfelder,83,Obrigheim,09_08_23
12.0,30,33.0,43.0,Dunkelfelder,83,Obrigheim,09_08_23
13.0,39,18.0,30.0,Dunkelfelder,83,Obrigheim,09_08_23
14.0,29,11.0,12.0,Dunkelfelder,83,Obrigheim,09_08_23
15.0,12,11.0,15.0,Dunkelfelder,83,Obrigheim,09_08_23
1.0,7,4.0,4.0,Dunkelfelder,84,Obrigheim,30_08_23
2.0,9,21.0,18.0,Dunkelfelder,84,Obrigheim,30_08_23
3.0,25,15.0,14.0,Dunkelfelder,84,Obrigheim,30_08_23
4.0,19,1.0,1.0,Dunkelfelder,84,Obrigheim,30_08_23
5.0,4,22.0,14.0,Dunkelfelder,84,Obrigheim,30_08_23
6.0,38,12.0,12.0,Dunkelfelder,84,Obrigheim,30_08_23
7.0,4,32.0,32.0,Dunkelfelder,84,Obrigheim,30_08_23
8.0,42,20.0,21.0,Dunkelfelder,84,Obrigheim,30_08_23
9.0,26,2.0,1.0,Dunkelfelder,84,Obrigheim,30_08_23
10.0,2,6.0,5.0,Dunkelfelder,84,Obrigheim,30_08_23
11.0,15,25.0,25.0,Dunkelfelder,84,Obrigheim,30_08_23
12.0,30,34.0,38.0,Dunkelfelder,84,Obrigheim,30_08_23
13.0,39,21.0,22.0,Dunkelfelder,84,Obrigheim,30_08_23
14.0,29,8.0,7.0,Dunkelfelder,84,Obrigheim,30_08_23
15.0,12,6.0,7.0,Dunkelfelder,84,Obrigheim,30_08_23
1.0,24,14.0,14.0,Moschofilero,53,Grape_3,15_05_23
2.0,13,6.0,10.0,Moschofilero,53,Grape_3,15_05_23
3.0,10,14.0,14.0,Moschofilero,53,Grape_3,15_05_23
4.0,27,17.0,17.0,Moschofilero,53,Grape_3,15_05_23
5.0,24,13.0,12.0,Moschofilero,53,Grape_3,15_05_23
6.0,10,10.0,14.0,Moschofilero,53,Grape_3,15_05_23
