,Tree,Ground Truth,Number of manual annotations,AI detections,GT_vs_AI,MA_vs_AI,variety,GS,field,date
0,1,7,7,3,4,4,1,83,8,2023-08-09
1,3,25,15,20,5,-5,1,83,8,2023-08-09
2,4,19,3,3,16,0,1,83,8,2023-08-09
3,5,4,20,29,-25,-9,1,83,8,2023-08-09
4,6,38,13,13,25,0,1,83,8,2023-08-09
5,7,4,26,37,-33,-11,1,83,8,2023-08-09
6,8,42,20,27,15,-7,1,83,8,2023-08-09
7,9,26,2,3,23,-1,1,83,8,2023-08-09
8,10,2,6,6,-4,0,1,83,8,2023-08-09
9,11,15,23,28,-13,-5,1,83,8,2023-08-09
10,12,30,33,43,-13,-10,1,83,8,2023-08-09
11,13,39,18,30,9,-12,1,83,8,2023-08-09
12,14,29,11,12,17,-1,1,83,8,2023-08-09
13,15,12,11,15,-3,-4,1,83,8,2023-08-09
14,1,7,4,4,3,0,1,84,8,2023-08-30
15,2,9,21,18,-9,3,1,84,8,2023-08-30
16,3,25,15,14,11,1,1,84,8,2023-08-30
17,4,19,1,1,18,0,1,84,8,2023-08-30
18,5,4,22,14,-10,8,1,84,8,2023-08-30
19,6,38,12,12,26,0,1,84,8,2023-08-30
20,7,4,32,32,-28,0,1,84,8,2023-08-30
21,8,42,20,21,21,-1,1,84,8,2023-08-30
22,9,26,2,1,25,1,1,84,8,2023-08-30
23,10,2,6,5,-3,1,1,84,8,2023-08-30
24,11,15,25,25,-10,0,1,84,8,2023-08-30
25,12,30,34,38,-8,-4,1,84,8,2023-08-30
26,13,39,21,22,17,-1,1,84,8,2023-08-30
27,14,29,8,7,22,1,1,84,8,2023-08-30
28,15,12,6,7,5,-1,1,84,8,2023-08-30
29,1,24,14,14,10,0,3,53,4,2023-05-15
30,2,13,6,10,3,-4,3,53,4,2023-05-15
31,3,10,14,14,-4,0,3,53,4,2023-05-15
32,4,27,17,17,10,0,3,53,4,2023-05-15
33,5,24,13,12,12,1,3,53,4,2023-05-15
34,6,10,10,14,-4,-4,3,53,4,2023-05-15
35,7,19,16,19,0,-3,3,53,4,2023-05-15
36,8,27,9,8,19,1,3,53,4,2023-05-15
37,9,10,14,17,-7,-3,3,53,4,2023-05-15
38,10,25,13,9,16,4,3,53,4,2023-05-15
39,11,23,13,12,11,1,3,53,4,2023-05-15
40,12,22,17,21,1,-4,3,53,4,2023-05-15
41,13,18,19,14,4,5,3,53,4,2023-05-15
42,14,27,13,10,17,3,3,53,4,2023-05-15
43,15,18,12,11,7,1,3,53,4,2023-05-15
44,16,20,13,10,10,3,3,53,4,2023-05-15
45,17,30,14,12,18,2,3,53,4,2023-05-15
46,18,17,15,19,-2,-4,3,53,4,2023-05-15
47,19,19,17,21,-2,-4,3,53,4,2023-05-15
48,20,19,1,8,11,-7,3,53,4,2023-05-15
49,21,13,2,2,11,0,3,53,4,2023-05-15
50,22,5,9,6,-1,3,3,53,4,2023-05-15
51,23,22,13,17,5,-4,3,53,4,2023-05-15
52,24,25,13,17,8,-4,3,53,4,2023-05-15
53,25,18,14,13,5,1,3,53,4,2023-05-15
54,26,20,13,13,7,0,3,53,4,2023-05-15
55,27,13,14,19,-6,-5,3,53,4,2023-05-15
56,28,20,18,21,-1,-3,3,53,4,2023-05-15
57,29,3,12,17,-14,-5,3,53,4,2023-05-15
58,30,22,20,20,2,0,3,53,4,2023-05-15
59,1,15,37,17,-2,20,3,7,4,2023-04-27
60,2,11,25,12,-1,13,3,7,4,2023-04-27
61,3,14,28,17,-3,11,3,7,4,2023-04-27
62,4,17,25,16,1,9,3,7,4,2023-04-27
63,5,18,25,15,3,10,3,7,4,2023-04-27
64,6,14,28,15,-1,13,3,7,4,2023-04-27
65,7,16,23,14,2,9,3,7,4,2023-04-27
66,8,16,23,12,4,11,3,7,4,2023-04-27
67,9,15,25,13,2,12,3,7,4,2023-04-27
68,10,15,28,15,0,13,3,7,4,2023-04-27
69,11,17,28,21,-4,7,3,7,4,2023-04-27
70,12,16,29,16,0,13,3,7,4,2023-04-27
71,13,15,23,15,0,8,3,7,4,2023-04-27
72,14,14,31,19,-5,12,3,7,4,2023-04-27
73,15,12,26,12,0,14,3,7,4,2023-04-27
74,16,15,31,16,-1,15,3,7,4,2023-04-27
75,17,15,34,16,-1,18,3,7,4,2023-04-27
76,18,16,34,17,-1,17,3,7,4,2023-04-27
77,19,13,25,13,0,12,3,7,4,2023-04-27
78,20,16,22,9,7,13,3,7,4,2023-04-27
79,21,11,13,2,9,11,3,7,4,2023-04-27
80,22,7,18,17,-10,1,3,7,4,2023-04-27
81,23,14,28,23,-9,5,3,7,4,2023-04-27
